expression,meaning,example,domain
kno@und,understanding-component of knowing,kno@und = the understanding aspect hidden in knowing,cognitive
und@kno,knowing-component of understanding,und@kno = the knowing aspect within understanding,cognitive
kno@thi,thinking-component of knowing,kno@thi = the thinking aspect hidden in knowing,cognitive
thi@kno,knowing-component of thinking,thi@kno = the knowing aspect within thinking,cognitive
kno@rea,reasoning-component of knowing,kno@rea = the reasoning aspect hidden in knowing,cognitive
rea@kno,knowing-component of reasoning,rea@kno = the knowing aspect within reasoning,cognitive
kno@ana,analyzing-component of knowing,kno@ana = the analyzing aspect hidden in knowing,cognitive
ana@kno,knowing-component of analyzing,ana@kno = the knowing aspect within analyzing,cognitive
kno@syn,synthesizing-component of knowing,kno@syn = the synthesizing aspect hidden in knowing,cognitive
syn@kno,knowing-component of synthesizing,syn@kno = the knowing aspect within synthesizing,cognitive
kno@ded,deducing-component of knowing,kno@ded = the deducing aspect hidden in knowing,cognitive
ded@kno,knowing-component of deducing,ded@kno = the knowing aspect within deducing,cognitive
kno@ind,inducing-component of knowing,kno@ind = the inducing aspect hidden in knowing,cognitive
ind@kno,knowing-component of inducing,ind@kno = the knowing aspect within inducing,cognitive
kno@abd,abducting-component of knowing,kno@abd = the abducting aspect hidden in knowing,cognitive
abd@kno,knowing-component of abducting,abd@kno = the knowing aspect within abducting,cognitive
kno@hyp,hypothesizing-component of knowing,kno@hyp = the hypothesizing aspect hidden in knowing,cognitive
hyp@kno,knowing-component of hypothesizing,hyp@kno = the knowing aspect within hypothesizing,cognitive
kno@crt,certain-component of knowing,kno@crt = the certain aspect hidden in knowing,cognitive
crt@kno,knowing-component of certain,crt@kno = the knowing aspect within certain,cognitive
kno@prb,probable-component of knowing,kno@prb = the probable aspect hidden in knowing,cognitive
prb@kno,knowing-component of probable,prb@kno = the knowing aspect within probable,cognitive
kno@sus,suspect-component of knowing,kno@sus = the suspect aspect hidden in knowing,cognitive
sus@kno,knowing-component of suspect,sus@kno = the knowing aspect within suspect,cognitive
kno@dou,doubting-component of knowing,kno@dou = the doubting aspect hidden in knowing,cognitive
dou@kno,knowing-component of doubting,dou@kno = the knowing aspect within doubting,cognitive
kno@dub,doubt-component of knowing,kno@dub = the doubt aspect hidden in knowing,cognitive
dub@kno,knowing-component of doubt,dub@kno = the knowing aspect within doubt,cognitive
kno@gue,guess-component of knowing,kno@gue = the guess aspect hidden in knowing,cognitive
gue@kno,knowing-component of guess,gue@kno = the knowing aspect within guess,cognitive
kno@asu,assume-component of knowing,kno@asu = the assume aspect hidden in knowing,cognitive
asu@kno,knowing-component of assume,asu@kno = the knowing aspect within assume,cognitive
kno@evi,evidence-component of knowing,kno@evi = the evidence aspect hidden in knowing,cognitive
evi@kno,knowing-component of evidence,evi@kno = the knowing aspect within evidence,cognitive
kno@bel,believing-component of knowing,kno@bel = the believing aspect hidden in knowing,cognitive
bel@kno,knowing-component of believing,bel@kno = the knowing aspect within believing,cognitive
kno@lik,likely-component of knowing,kno@lik = the likely aspect hidden in knowing,cognitive
lik@kno,knowing-component of likely,lik@kno = the knowing aspect within likely,cognitive
kno@foc,focus-component of knowing,kno@foc = the focus aspect hidden in knowing,cognitive
foc@kno,knowing-component of focus,foc@kno = the knowing aspect within focus,cognitive
kno@atn,attention-component of knowing,kno@atn = the attention aspect hidden in knowing,cognitive
atn@kno,knowing-component of attention,atn@kno = the knowing aspect within attention,cognitive
kno@con,concentrate-component of knowing,kno@con = the concentrate aspect hidden in knowing,cognitive
con@kno,knowing-component of concentrate,con@kno = the knowing aspect within concentrate,cognitive
kno@dis,distract-component of knowing,kno@dis = the distract aspect hidden in knowing,cognitive
dis@kno,knowing-component of distract,dis@kno = the knowing aspect within distract,cognitive
kno@obs,observe-component of knowing,kno@obs = the observe aspect hidden in knowing,cognitive
obs@kno,knowing-component of observe,obs@kno = the knowing aspect within observe,cognitive
kno@per,perceive-component of knowing,kno@per = the perceive aspect hidden in knowing,cognitive
per@kno,knowing-component of perceive,per@kno = the knowing aspect within perceive,cognitive
kno@abl,able-component of knowing,kno@abl = the able aspect hidden in knowing,cognitive
abl@kno,knowing-component of able,abl@kno = the knowing aspect within able,cognitive
kno@aud,hearing-component of knowing,kno@aud = the hearing aspect hidden in knowing,cognitive
aud@kno,knowing-component of hearing,aud@kno = the knowing aspect within hearing,cognitive
kno@see,seeing-component of knowing,kno@see = the seeing aspect hidden in knowing,cognitive
see@kno,knowing-component of seeing,see@kno = the knowing aspect within seeing,cognitive
kno@sme,smelling-component of knowing,kno@sme = the smelling aspect hidden in knowing,cognitive
sme@kno,knowing-component of smelling,sme@kno = the knowing aspect within smelling,cognitive
kno@cle,clear-component of knowing,kno@cle = the clear aspect hidden in knowing,cognitive
cle@kno,knowing-component of clear,cle@kno = the knowing aspect within clear,cognitive
kno@dar,dark-component of knowing,kno@dar = the dark aspect hidden in knowing,cognitive
dar@kno,knowing-component of dark,dar@kno = the knowing aspect within dark,cognitive
kno@luc,lucid-component of knowing,kno@luc = the lucid aspect hidden in knowing,cognitive
luc@kno,knowing-component of lucid,luc@kno = the knowing aspect within lucid,cognitive
kno@clo,cloudy-component of knowing,kno@clo = the cloudy aspect hidden in knowing,cognitive
clo@kno,knowing-component of cloudy,clo@kno = the knowing aspect within cloudy,cognitive
kno@ful,full-component of knowing,kno@ful = the full aspect hidden in knowing,cognitive
