expression,meaning,example,domain
(dialectic@edg)^0.23,Compositional expression using (A@B)^X,(dialectic@edg)^0.23,emotion
(btw@slp)^0.67,Compositional expression using (A@B)^X,(btw@slp)^0.67,emotion
(nov@rdc)^0.90,Compositional expression using (A@B)^X,(nov@rdc)^0.90,emotion
(art@few)^0.37,Compositional expression using (A@B)^X,(art@few)^0.37,emotion
(thn@cha)^0.62,Compositional expression using (A@B)^X,(thn@cha)^0.62,emotion
(sal@swe)^0.43,Compositional expression using (A@B)^X,(sal@swe)^0.43,emotion
(rar@lib)^0.11,Compositional expression using (A@B)^X,(rar@lib)^0.11,emotion
(nov@che)^0.23,Compositional expression using (A@B)^X,(nov@che)^0.23,emotion
(hav@seh)^0.15,Compositional expression using (A@B)^X,(hav@seh)^0.15,emotion
(aret@pov)^0.19,Compositional expression using (A@B)^X,(aret@pov)^0.19,emotion
(llm@ptat)^0.16,Compositional expression using (A@B)^X,(llm@ptat)^0.16,emotion
(acc@ubk)^0.61,Compositional expression using (A@B)^X,(acc@ubk)^0.61,emotion
(swa@category)^0.40,Compositional expression using (A@B)^X,(swa@category)^0.40,emotion
(sup@mkt)^0.84,Compositional expression using (A@B)^X,(sup@mkt)^0.84,emotion
(whet@squ)^0.49,Compositional expression using (A@B)^X,(whet@squ)^0.49,emotion
(hof@tbl)^0.53,Compositional expression using (A@B)^X,(hof@tbl)^0.53,emotion
(med@brg)^0.78,Compositional expression using (A@B)^X,(med@brg)^0.78,emotion
(wrt@new)^0.39,Compositional expression using (A@B)^X,(wrt@new)^0.39,emotion
(embd@mcal)^0.19,Compositional expression using (A@B)^X,(embd@mcal)^0.19,emotion
(cut@pur)^0.86,Compositional expression using (A@B)^X,(cut@pur)^0.86,emotion
(unf@flo)^0.90,Compositional expression using (A@B)^X,(unf@flo)^0.90,emotion
(ave@dur)^0.38,Compositional expression using (A@B)^X,(ave@dur)^0.38,emotion
(doo@sat)^0.37,Compositional expression using (A@B)^X,(doo@sat)^0.37,emotion
(kar@nox)^0.82,Compositional expression using (A@B)^X,(kar@nox)^0.82,emotion
(can@ver)^0.88,Compositional expression using (A@B)^X,(can@ver)^0.88,emotion
(cel@urg)^0.27,Compositional expression using (A@B)^X,(cel@urg)^0.27,emotion
(for@fnd)^0.66,Compositional expression using (A@B)^X,(for@fnd)^0.66,emotion
(han@liz)^0.28,Compositional expression using (A@B)^X,(han@liz)^0.28,emotion
(see@lft)^0.40,Compositional expression using (A@B)^X,(see@lft)^0.40,emotion
(glt@elb)^0.70,Compositional expression using (A@B)^X,(glt@elb)^0.70,emotion
(can@trn)^0.80,Compositional expression using (A@B)^X,(can@trn)^0.80,emotion
(zen@applicative)^0.84,Compositional expression using (A@B)^X,(zen@applicative)^0.84,emotion
(pro@vag)^0.25,Compositional expression using (A@B)^X,(pro@vag)^0.25,emotion
(rst@sou)^0.21,Compositional expression using (A@B)^X,(rst@sou)^0.21,emotion
(you@key)^0.46,Compositional expression using (A@B)^X,(you@key)^0.46,emotion
(clst@ctx)^0.84,Compositional expression using (A@B)^X,(clst@ctx)^0.84,emotion
(pat@try)^0.74,Compositional expression using (A@B)^X,(pat@try)^0.74,emotion
(ontology@tog)^0.87,Compositional expression using (A@B)^X,(ontology@tog)^0.87,emotion
(fat@agr)^0.80,Compositional expression using (A@B)^X,(fat@agr)^0.80,emotion
(lan@ful)^0.54,Compositional expression using (A@B)^X,(lan@ful)^0.54,emotion
(mrg@std)^0.75,Compositional expression using (A@B)^X,(mrg@std)^0.75,emotion
(meit@dns)^0.85,Compositional expression using (A@B)^X,(meit@dns)^0.85,emotion
(pit@lexeme)^0.37,Compositional expression using (A@B)^X,(pit@lexeme)^0.37,emotion
(arg@fai)^0.58,Compositional expression using (A@B)^X,(arg@fai)^0.58,emotion
(lus@hon)^0.39,Compositional expression using (A@B)^X,(lus@hon)^0.39,emotion
(stw@gus)^0.93,Compositional expression using (A@B)^X,(stw@gus)^0.93,emotion
(src@qeu)^0.45,Compositional expression using (A@B)^X,(src@qeu)^0.45,emotion
(fol@axs)^0.14,Compositional expression using (A@B)^X,(fol@axs)^0.14,emotion
(tel@nor)^0.93,Compositional expression using (A@B)^X,(tel@nor)^0.93,emotion
(lat@allomorph)^0.11,Compositional expression using (A@B)^X,(lat@allomorph)^0.11,emotion
(obj@kit)^0.76,Compositional expression using (A@B)^X,(obj@kit)^0.76,emotion
(drf@prb)^0.29,Compositional expression using (A@B)^X,(drf@prb)^0.29,emotion
(che@obe)^0.52,Compositional expression using (A@B)^X,(che@obe)^0.52,emotion
(vegt@wan)^0.38,Compositional expression using (A@B)^X,(vegt@wan)^0.38,emotion
(run@shi)^0.64,Compositional expression using (A@B)^X,(run@shi)^0.64,emotion
(loop@tmo)^0.90,Compositional expression using (A@B)^X,(loop@tmo)^0.90,emotion
(nos@chk)^0.73,Compositional expression using (A@B)^X,(nos@chk)^0.73,emotion
(ate@cei)^0.17,Compositional expression using (A@B)^X,(ate@cei)^0.17,emotion
(dor@gus)^0.82,Compositional expression using (A@B)^X,(dor@gus)^0.82,emotion
(opa@mak)^0.42,Compositional expression using (A@B)^X,(opa@mak)^0.42,emotion
(fre@van)^0.56,Compositional expression using (A@B)^X,(fre@van)^0.56,emotion
(bir@sno)^0.83,Compositional expression using (A@B)^X,(bir@sno)^0.83,emotion
(duk@sle)^0.70,Compositional expression using (A@B)^X,(duk@sle)^0.70,emotion
(tou@gas)^0.50,Compositional expression using (A@B)^X,(tou@gas)^0.50,emotion
(tor@rmt)^0.72,Compositional expression using (A@B)^X,(tor@rmt)^0.72,emotion
(rop@son)^0.10,Compositional expression using (A@B)^X,(rop@son)^0.10,emotion
(air@rol)^0.92,Compositional expression using (A@B)^X,(air@rol)^0.92,emotion
(upd@lim)^0.86,Compositional expression using (A@B)^X,(upd@lim)^0.86,emotion
(pub@tid)^0.60,Compositional expression using (A@B)^X,(pub@tid)^0.60,emotion
(pri@mut)^0.81,Compositional expression using (A@B)^X,(pri@mut)^0.81,emotion
(whi@neg)^0.51,Compositional expression using (A@B)^X,(whi@neg)^0.51,emotion
(gla@rew)^0.80,Compositional expression using (A@B)^X,(gla@rew)^0.80,emotion
(lat@shr)^0.38,Compositional expression using (A@B)^X,(lat@shr)^0.38,emotion
(liz@foo)^0.86,Compositional expression using (A@B)^X,(liz@foo)^0.86,emotion
(tun@frt)^0.34,Compositional expression using (A@B)^X,(tun@frt)^0.34,emotion
(cut@arm)^0.88,Compositional expression using (A@B)^X,(cut@arm)^0.88,emotion
(udc@dha)^0.90,Compositional expression using (A@B)^X,(udc@dha)^0.90,emotion
(ref@onc)^0.32,Compositional expression using (A@B)^X,(ref@onc)^0.32,emotion
(dus@nec)^0.75,Compositional expression using (A@B)^X,(dus@nec)^0.75,emotion
(option@and)^0.90,Compositional expression using (A@B)^X,(option@and)^0.90,emotion
(jar@obe)^0.94,Compositional expression using (A@B)^X,(jar@obe)^0.94,emotion
(dus@pyr)^0.34,Compositional expression using (A@B)^X,(dus@pyr)^0.34,emotion
(fli@avg)^0.79,Compositional expression using (A@B)^X,(fli@avg)^0.79,emotion
(dup@cer)^0.86,Compositional expression using (A@B)^X,(dup@cer)^0.86,emotion
(fra@can)^0.56,Compositional expression using (A@B)^X,(fra@can)^0.56,emotion
(mol@pas)^0.84,Compositional expression using (A@B)^X,(mol@pas)^0.84,emotion
(bec@pie)^0.41,Compositional expression using (A@B)^X,(bec@pie)^0.41,emotion
(crsn@evo)^0.29,Compositional expression using (A@B)^X,(crsn@evo)^0.29,emotion
(await@glo)^0.93,Compositional expression using (A@B)^X,(await@glo)^0.93,emotion
(myt@sta)^0.60,Compositional expression using (A@B)^X,(myt@sta)^0.60,emotion
(wke@cyc)^0.14,Compositional expression using (A@B)^X,(wke@cyc)^0.14,emotion
(mov@rem)^0.21,Compositional expression using (A@B)^X,(mov@rem)^0.21,emotion
(low@tid)^0.15,Compositional expression using (A@B)^X,(low@tid)^0.15,emotion
(awa@srv)^0.40,Compositional expression using (A@B)^X,(awa@srv)^0.40,emotion
(sto@nxt)^0.31,Compositional expression using (A@B)^X,(sto@nxt)^0.31,emotion
