expression,meaning,example,domain
abd*ack,abduct ∧ acknowledge,abd*ack,cognitive-agent
abd*act,abduct ∧ action,abd*act,cognitive-agent
abd*ada,abduct ∧ adapt,abd*ada,cognitive-agent
abd*age,abduct ∧ agent,abd*age,cognitive-abstract
abd*agg,abduct ∧ aggregate,abd*agg,cognitive-agent
abd*agr,abduct ∧ agreeing,abd*agr,cognitive-communication
abd*agr*cer,abduct ∧ agreeing ∧ ceremony,abd*agr*cer,ternary
abd*agr*chi,abduct ∧ agreeing ∧ child,abd*agr*chi,ternary
abd*agr*cru,abduct ∧ agreeing ∧ cruel,abd*agr*cru,ternary
abd*agr*cul,abduct ∧ agreeing ∧ culture,abd*agr*cul,ternary
abd*agt,abduct ∧ agent,abd*agt,cognitive-agent
abd*ahi,abduct ∧ ahimsa,abd*ahi,cognitive-ethics
abd*ale,abduct ∧ aleatoric uncertainty (inherently random),abd*ale,cognitive-agent
abd*all,abduct ∧ all,abd*all,cognitive-abstract
abd*alp,abduct ∧ alpha,abd*alp,cognitive-abstract
abd*alt,abduct ∧ alternatively,abd*alt,cognitive-abstract
abd*amb,abduct ∧ many meanings,abd*amb,cognitive-abstract
abd*anc,abduct ∧ ancient,abd*anc,cognitive-abstract
abd*ans,abduct ∧ answer,abd*ans,cognitive-communication
abd*ans*cer,abduct ∧ answer ∧ ceremony,abd*ans*cer,ternary
abd*ans*chi,abduct ∧ answer ∧ child,abd*ans*chi,ternary
abd*ans*cru,abduct ∧ answer ∧ cruel,abd*ans*cru,ternary
abd*ans*cul,abduct ∧ answer ∧ culture,abd*ans*cul,ternary
abd*api,abduct ∧ interface,abd*api,cognitive-technical
abd*apl,abduct ∧ apple,abd*apl,cognitive-concrete
abd*app,abduct ∧ application,abd*app,cognitive-technical
abd*apt,abduct ∧ apartment,abd*apt,cognitive-sensory
abd*aret,abduct ∧ arete,abd*aret,cognitive-ethics
abd*arg,abduct ∧ arguing,abd*arg,cognitive-communication
abd*arg*cer,abduct ∧ arguing ∧ ceremony,abd*arg*cer,ternary
abd*arg*chi,abduct ∧ arguing ∧ child,abd*arg*chi,ternary
abd*arg*cru,abduct ∧ arguing ∧ cruel,abd*arg*cru,ternary
abd*arg*cul,abduct ∧ arguing ∧ culture,abd*arg*cul,ternary
abd*ask,abduct ∧ asking,abd*ask,cognitive-communication
abd*ask*cer,abduct ∧ asking ∧ ceremony,abd*ask*cer,ternary
abd*ask*chi,abduct ∧ asking ∧ child,abd*ask*chi,ternary
abd*ask*cru,abduct ∧ asking ∧ cruel,abd*ask*cru,ternary
abd*ask*cul,abduct ∧ asking ∧ culture,abd*ask*cul,ternary
abd*async,abduct ∧ not synchronized concurrent,abd*async,cognitive-technical
abd*avo,abduct ∧ avoid,abd*avo,cognitive-process
abd*await,abduct ∧ wait for completion,abd*await,cognitive-technical
abd*bag,abduct ∧ bag,abd*bag,cognitive-motion
abd*bak,abduct ∧ backup,abd*bak,cognitive-technical
abd*ban,abduct ∧ banana,abd*ban,cognitive-concrete
abd*bar,abduct ∧ baraka,abd*bar,cognitive-ethics
abd*bat,abduct ∧ bathroom,abd*bat,cognitive-sensory
abd*bed,abduct ∧ bedroom,abd*bed,cognitive-sensory
abd*bee,abduct ∧ beer,abd*bee,cognitive-concrete
abd*beff,abduct ∧ beef,abd*beff,cognitive-concrete
abd*ben,abduct ∧ bend,abd*ben,cognitive-process
abd*bit,abduct ∧ bitter,abd*bit,cognitive-concrete
abd*bld,abduct ∧ build,abd*bld,cognitive-process
abd*ble,abduct ∧ blessing,abd*ble,cognitive-ethics
abd*bng,abduct ∧ bring,abd*bng,cognitive-process
abd*bnk,abduct ∧ bank,abd*bnk,cognitive-sensory
abd*bod,abduct ∧ awakening,abd*bod,cognitive-ethics
abd*boi,abduct ∧ boil,abd*boi,cognitive-concrete
abd*boo,abduct ∧ book,abd*boo,cognitive-motion
abd*bot,abduct ∧ automated agent,abd*bot,cognitive-technical
abd*bow,abduct ∧ bowl,abd*bow,cognitive-motion
abd*box,abduct ∧ box,abd*box,cognitive-motion
abd*brk,abduct ∧ break,abd*brk,cognitive-process
abd*cas,abduct ∧ castle,abd*cas,cognitive-sensory
abd*cei,abduct ∧ ceiling,abd*cei,cognitive-sensory
abd*cer,abduct ∧ ceremony,abd*cer,cognitive-social
abd*chi,abduct ∧ child,abd*chi,cognitive-social
abd*cle,abduct ∧ clear,abd*cle,cognitive-communication
abd*clm,abduct ∧ climb,abd*clm,cognitive-process
abd*cri,abduct ∧ criticize,abd*cri,cognitive-communication
abd*cru,abduct ∧ cruel,abd*cru,cognitive-social
abd*cul,abduct ∧ culture,abd*cul,cognitive-social
abd*cup,abduct ∧ cup,abd*cup,cognitive-motion
abd*cus,abduct ∧ custom,abd*cus,cognitive-social
abd*der,abduct ∧ virtue,abd*der,cognitive-ethics
abd*dut,abduct ∧ duty,abd*dut,cognitive-social
abd*ham,abduct ∧ hammer,abd*ham,cognitive-motion
abl*ack,able ∧ acknowledge,abl*ack,cognitive-agent
abl*act,able ∧ action,abl*act,cognitive-agent
abl*ada,able ∧ adapt,abl*ada,cognitive-agent
abl*age,able ∧ agent,abl*age,cognitive-abstract
abl*agg,able ∧ aggregate,abl*agg,cognitive-agent
abl*agr,able ∧ agreeing,abl*agr,cognitive-communication
abl*agr*cer,able ∧ agreeing ∧ ceremony,abl*agr*cer,ternary
abl*agr*chi,able ∧ agreeing ∧ child,abl*agr*chi,ternary
abl*agr*cru,able ∧ agreeing ∧ cruel,abl*agr*cru,ternary
abl*agr*cul,able ∧ agreeing ∧ culture,abl*agr*cul,ternary
abl*agt,able ∧ agent,abl*agt,cognitive-agent
abl*ahi,able ∧ ahimsa,abl*ahi,cognitive-ethics
abl*ale,able ∧ aleatoric uncertainty (inherently random),abl*ale,cognitive-agent
abl*all,able ∧ all,abl*all,cognitive-abstract
abl*alp,able ∧ alpha,abl*alp,cognitive-abstract
abl*alt,able ∧ alternatively,abl*alt,cognitive-abstract
abl*amb,able ∧ many meanings,abl*amb,cognitive-abstract
abl*anc,able ∧ ancient,abl*anc,cognitive-abstract
abl*ans,able ∧ answer,abl*ans,cognitive-communication
abl*ans*cer,able ∧ answer ∧ ceremony,abl*ans*cer,ternary
abl*ans*chi,able ∧ answer ∧ child,abl*ans*chi,ternary
abl*ans*cru,able ∧ answer ∧ cruel,abl*ans*cru,ternary
abl*ans*cul,able ∧ answer ∧ culture,abl*ans*cul,ternary
abl*api,able ∧ interface,abl*api,cognitive-technical
abl*apl,able ∧ apple,abl*apl,cognitive-concrete
abl*app,able ∧ application,abl*app,cognitive-technical
abl*apt,able ∧ apartment,abl*apt,cognitive-sensory
abl*aret,able ∧ arete,abl*aret,cognitive-ethics
abl*arg,able ∧ arguing,abl*arg,cognitive-communication
abl*arg*cer,able ∧ arguing ∧ ceremony,abl*arg*cer,ternary
abl*arg*chi,able ∧ arguing ∧ child,abl*arg*chi,ternary
abl*arg*cru,able ∧ arguing ∧ cruel,abl*arg*cru,ternary
abl*arg*cul,able ∧ arguing ∧ culture,abl*arg*cul,ternary
abl*ask,able ∧ asking,abl*ask,cognitive-communication
abl*ask*cer,able ∧ asking ∧ ceremony,abl*ask*cer,ternary
abl*ask*chi,able ∧ asking ∧ child,abl*ask*chi,ternary
abl*ask*cru,able ∧ asking ∧ cruel,abl*ask*cru,ternary
abl*ask*cul,able ∧ asking ∧ culture,abl*ask*cul,ternary
abl*async,able ∧ not synchronized concurrent,abl*async,cognitive-technical
abl*avo,able ∧ avoid,abl*avo,cognitive-process
