expression,meaning,example,domain
((big*sma)*den)@vis,hierarchical visible structure,((big*sma)*den)@vis = pattern,physical
((ero*wea)*tim)@sto,stone erosion over time,((ero*wea)*tim)@sto = geological change,physical
((sol*liq)@tex)^0.7,textured gel with firmness,((sol*liq)@tex)^0.7 = gel structure,physical
(har*sof)*tex,hard-soft textured,(har*sof)*tex = complex surface,physical
(har*sof*ela),triple property,(har*sof*ela) = stainless steel,physical
(har@sol)*(sof@liq),hard solid meets soft liquid,(har@sol)*(sof@liq) = interface,physical
(har@sol)*sof,soft-hard composite,(har@sol)*sof = soft shell core,physical
(har@sol)@tex,hardness of solid texture,(har@sol)@tex = structural strength,physical
(hot*col)*pre,thermal-pressure shock,(hot*col)*pre = geothermal,physical
(hot*col*pre),extreme conditions,(hot*col*pre) = harsh environment,physical
(hot*cold)@pre,thermal pressure shock,(hot*cold)@pre = stress concentration,physical
(hot@fir)*col,thermal gradient,(hot@fir)*col = temperature shock,physical
(hot@gas)@pre,temperature of pressurized gas,(hot@gas)@pre = thermal pressure,physical
(liq*gas)@ruf,rough foam,(liq*gas)@ruf = coarse bubbles,physical
(liq*gas)@smo,smooth foam,(liq*gas)@smo = fine microfoam,physical
(liq*gas)^0.2,loose foam,(liq*gas)^0.2 = light mist,physical
(liq*gas)^0.3,light mist,(liq*gas)^0.3 = thin haze,physical
(liq*gas)^0.8,dense foam,(liq*gas)^0.8 = thick bubbles,physical
(liq*gas)^0.9,stiff foam,(liq*gas)^0.9 = meringue-like,physical
(liq@sol)^0.6,partially saturated,(liq@sol)^0.6 = damp material,physical
(mel given hot)@sol,molten solid aspect,(mel given hot)@sol = liquid-solid boundary,physical
(ruf*smo)*vis,visibility of texture,(ruf*smo)*vis = visible finish,physical
(ruf@sto)@ero,roughness of eroding stone,(ruf@sto)@ero = degraded surface,physical
(ruf@tex)*(smo@tex),surface texture mixing,(ruf@tex)*(smo@tex) = mixed finish,physical
(smo@tex)*ruf,rough-smooth mix,(smo@tex)*ruf = textured smoothness,physical
(sol*gas)@coa,coarse powder,(sol*gas)@coa = sand-like,physical
(sol*gas)@fin,fine powder,(sol*gas)@fin = talc-like,physical
(sol*gas)^0.2,light dust,(sol*gas)^0.2 = barely visible,physical
(sol*gas)^0.8,dense aerosol,(sol*gas)^0.8 = thick dust,physical
(sol*gas)^0.9,dense cloud,(sol*gas)^0.9 = thick storm,physical
(sol*liq)*(gas*pla),condensed-gas phases,(sol*liq)*(gas*pla) = phase coexistence,physical
(sol*liq)*sti,sticky gel,(sol*liq)*sti = adhesive semi-solid,physical
(sol*liq)@tex,textured gel,(sol*liq)@tex = jelly structure,physical
(sol*liq)@vis,transparent gel,(sol*liq)@vis = clear semi-solid,physical
(sol*liq)^0.3,weak gel,(sol*liq)^0.3 = barely set,physical
(sol*liq)^0.5,partial gel state,(sol*liq)^0.5 = slightly gelled,physical
(sol*liq)^0.7,stiff gel,(sol*liq)^0.7 = agar-like,physical
(sol*liq)^0.8,firm gel,(sol*liq)^0.8 = stiff jelly,physical
(sol*liq*gas)@tem,three-state system,(sol*liq*gas)@tem = thermodynamic,physical
(sol*liq*gas)@tex,textured mix,(sol*liq*gas)@tex = mayonnaise,physical
(sol@liq)*tex,structured composite,(sol@liq)*tex = suspension pattern,physical
(tem*pre)@crit,critical temp-pressure,(tem*pre)@crit = supercritical fluid,physical
(vis@gla)*opa,transparent-opaque,(vis@gla)*opa = tinted glass,physical
(wet*dry)*tim,moisture cycle over time,(wet*dry)*tim = seasonal,physical
abs@gas,abs property in gas,abs@gas = abs of gas,physical
abs@liq,abs property in liq,abs@liq = abs of liq,physical
abs@met,abs property in met,abs@met = abs of met,physical
abs@sol,abs property in sol,abs@sol = abs of sol,physical
abs^0.9,high absorption,abs^0.9 = black body,physical
acc given fre,friction-limited accel,acc given fre = tire limit,physical
acc given pre^0.9,pressure-limited acceleration,acc given pre^0.9 = flow restriction,physical
acc^0.7,rapid acceleration,acc^0.7 = high-g force,physical
amorp*cryst,amorphous to crystalline,amorp*cryst = crystallization,physical
amorp@sol,amorphous in solid,amorp@sol = glassy,physical
ash given col^0.8,ash with 80% col condition,ash given col^0.8 = modified ash,physical
ash given har^0.3,ash with 30% har condition,ash given har^0.3 = modified ash,physical
ash given har^0.7,ash with 70% har condition,ash given har^0.7 = modified ash,physical
ash given hot,hot ash,ash given hot = fresh combustion,physical
ash given hot^0.6,ash with 60% hot condition,ash given hot^0.6 = modified ash,physical
ash given ruf^0.4,ash with 40% ruf condition,ash given ruf^0.4 = modified ash,physical
ash given smo^0.7,ash with 70% smo condition,ash given smo^0.7 = modified ash,physical
ash given sof^0.5,ash with 50% sof condition,ash given sof^0.5 = modified ash,physical
ash*fir,ash-fire state,ash*fir = smoldering,physical
ash@col,cold ash,ash@col = cooled residue,physical
ash@fin,fine ash,ash@fin = powder consistency,physical
atom@mol,atomic in molecular,atom@mol = atomic structure,physical
bar^0.2,20% barrier strength,bar^0.2 = weak resistance,physical
bar^0.8,80% barrier strength,bar^0.8 = strong resistance,physical
beat@wav,beat in waves,beat@wav = interference pattern,physical
ben*str,bend-stretch state,ben*str = complex deformation,physical
ben@fle,bending flexible,ben@fle = deflection,physical
ben^0.4,slight bend,ben^0.4 = elastic deformation,physical
ben^0.8,sharp bend,ben^0.8 = plastic deformation,physical
big > sma,scale dominance,big > sma = macroscopic,physical
big given mov^0.5,big under moderate mov,big given mov^0.5 = big at medium mov,physical
big given pre^0.5,big under moderate pre,big given pre^0.5 = big at medium pre,physical
big given tem^0.5,big under moderate tem,big given tem^0.5 = big at medium tem,physical
big given tim^0.5,big under moderate tim,big given tim^0.5 = big at medium tim,physical
big without sma,scale without micro,big without sma = large-scale only,physical
big*pre,large-scale pressure,big*pre = weight pressure,physical
big*sma,size paradox,big*sma = multi-scale,physical
big*sma*den,multi-scale density,big*sma*den = hierarchical,physical
big@hot,large-scale heat,big@hot = thermal mass,physical
big@mov,large-scale motion,big@mov = momentum,physical
big^0.1,10% big,big^0.1 = 10% size,physical
big^0.15,15% big intensity,big^0.15 = 15% effect,physical
big^0.25,25% big intensity,big^0.25 = 25% effect,physical
big^0.3,30% big,big^0.3 = 30% size,physical
big^0.35,35% big intensity,big^0.35 = 35% effect,physical
big^0.45,45% big,big^0.45 = moderately large,physical
big^0.5,50% big,big^0.5 = 50% size,physical
big^0.55,55% big,big^0.55 = quite large,physical
big^0.65,65% big,big^0.65 = very large,physical
big^0.7,70% big,big^0.7 = 70% size,physical
big^0.75,75% big,big^0.75 = extremely large,physical
big^0.85,85% big,big^0.85 = massive,physical
big^0.9,90% big,big^0.9 = 90% size,physical
big^1.0*den^0.0,huge sparse material,big^1.0*den^0.0 = aerogel block,physical
boi@hot,high-temp boiling,boi@hot = superheated,physical
boi^0.3,gentle boiling,boi^0.3 = slow bubbles,physical
boi^0.9,vigorous boiling,boi^0.9 = rapid bubbling,physical
bre given pre,pressure-induced breaking,bre given pre = compression failure,physical
bre given pre*tim,fracture under pressure over time,bre given pre*tim = fatigue crack,physical
bre given tim,time-induced fracture,bre given tim = fatigue failure,physical
bre*cut,breaking-cutting,bre*cut = fracture pattern,physical
bre@bri,brittle fracture,bre@bri = clean sharp break,physical
bre^0.3,minor breaking,bre^0.3 = small fracture,physical
bre^0.9,catastrophic breaking,bre^0.9 = total failure,physical
break@pre,breaking pressure,break@pre = fracture threshold,physical
bri*dul,complex reflectivity,bri*dul = pearlescent,physical
bri*dul@tex,brightness-dullness texture,bri*dul@tex = mottled,physical
bri*fle,limited flexibility,bri*fle = quasi-plastic,physical
bri^0.2,20% bri,bri^0.2 = 20% effect,physical
bri^0.4,40% bri,bri^0.4 = 40% effect,physical
bri^0.6,60% bri,bri^0.6 = 60% effect,physical
bri^0.8,80% bri,bri^0.8 = 80% effect,physical
bri^0.9,extremely brittle,bri^0.9 = glass fracture,physical
cla given col^0.8,clay with 80% col condition,cla given col^0.8 = modified clay,physical
cla given har^0.3,clay with 30% har condition,cla given har^0.3 = modified clay,physical
cla given har^0.7,clay with 70% har condition,cla given har^0.7 = modified clay,physical
cla given hot^0.6,clay with 60% hot condition,cla given hot^0.6 = modified clay,physical
cla given hot^0.9,fired ceramic,cla given hot^0.9 = hard,physical
cla given ruf^0.4,clay with 40% ruf condition,cla given ruf^0.4 = modified clay,physical
cla given smo^0.7,clay with 70% smo condition,cla given smo^0.7 = modified clay,physical
cla given sof^0.5,clay with 50% sof condition,cla given sof^0.5 = modified clay,physical
cla*wet,plastic clay,cla*wet = moldable state,physical
cla@tex,textured clay,cla@tex = hand-modeled,physical
cle^0.8,clean cleavage,cle^0.8 = perfect fracture,physical
cle^0.9,crystal clear,cle^0.9 = pristine,physical
coa^0.7,significant coagulation,coa^0.7 = milk curdling,physical
coa^0.8,coarse texture,coa^0.8 = rough weave,physical
coat@gas,coat of gas,coat@gas = coat structure,physical
coat@liq,coat of liq,coat@liq = coat structure,physical
coat@sol,coat of sol,coat@sol = coat structure,physical
col given gas,cooled gas,col given gas = density increase,physical
col*fad,color fading,col*fad = discoloration,physical
col*liq,cold liquid contraction,col*liq = freezing process,physical
col*rad,cold-radiating,col*rad = thermal absorption,physical
col@air,cold air,col@air = density increase,physical
col@wat,cold water,col@wat = contraction,physical
col^0.05,5% cold,col^0.05 = slightly cool,physical
col^0.1,10% cold,col^0.1 = 10% cold,physical
col^0.15,15% col intensity,col^0.15 = 15% effect,physical
col^0.25,25% col intensity,col^0.25 = 25% effect,physical
col^0.3,30% cold,col^0.3 = 30% cold,physical
col^0.35,35% col intensity,col^0.35 = 35% effect,physical
col^0.45,45% cold,col^0.45 = very cold,physical
col^0.5,50% cold,col^0.5 = 50% cold,physical
col^0.55,55% cold,col^0.55 = extremely cold,physical
col^0.65,65% cold,col^0.65 = freezing,physical
col^0.7,70% cold,col^0.7 = 70% cold,physical
col^0.75,75% cold,col^0.75 = deep freeze,physical
col^0.85,85% cold,col^0.85 = near absolute zero,physical
col^0.9,90% cold,col^0.9 = 90% cold,physical
col^1.0*pre^0.0,extreme cold vacuum,col^1.0*pre^0.0 = deep space,physical
cold@bre,cold in bre,cold@bre = cold for bre,physical
cold@eva,cold in eva,cold@eva = cold for eva,physical
cold@mel,cold in mel,cold@mel = cold for mel,physical
cold@mix,cold in mix,cold@mix = cold for mix,physical
cold@mov,cold in mov,cold@mov = cold for mov,physical
con given col,cold-driven contraction,con given col = frost,physical
con*liq,condensation-liquification,con*liq = condensation,physical
con@gas,con property in gas,con@gas = con of gas,physical
con@liq,con property in liq,con@liq = con of liq,physical
con@met,con property in met,con@met = con of met,physical
con@par,condensed particles,con@par = Bose-Einstein,physical
con@pre,conduction at pressure,con@pre = pressure conduction,physical
con@sol,con property in sol,con@sol = con of sol,physical
con^0.3,early condensation,con^0.3 = first droplets,physical
con^0.7,significant contraction,con^0.7 = cooling shrink,physical
con^0.8,heavy condensation,con^0.8 = fog/dew,physical
conv@tem,convection at temperature,conv@tem = thermal convection,physical
cor given tem*hum,corrosion with temperature and humidity,cor given tem*hum = environmental,physical
cor given tim^0.7,gradual corrosion,cor given tim^0.7 = rust formation,physical
cor^0.7,advanced corrosion,cor^0.7 = deep rust,physical
cra*sca,cracked scaling,cra*sca = fracture/peeling,physical
cra@tex,cracked pattern,cra@tex = crazing network,physical
