expression,meaning,example,domain
(((beg*mid)*end)*las)*fir,full lifecycle spectrum,(((beg*mid)*end)*las)*fir = full lifecycle spectrum,temporal
(((cha*evo)*tra)*dec)*gro,change evolution transformation decay growth,(((cha*evo)*tra)*dec)*gro = change evolution transformation decay growth,temporal
((alw*oft)*onc)*(rar*nev),complete frequency spectrum,((alw*oft)*onc)*(rar*nev) = complete frequency spectrum,temporal
((alw*oft)*onc)*rar,frequency spectrum,((alw*oft)*onc)*rar = frequency spectrum,temporal
((beg*mid)*end)*seq,lifecycle in sequence,((beg*mid)*end)*seq = lifecycle in sequence,temporal
((bir*sta)*dea)*cyc,life through stability through death cyclically,((bir*sta)*dea)*cyc = life through stability through death cyclically,temporal
((fut:pas):now),future through past through present,((fut:pas):now) = future through past through present,temporal
((gro*evo)*tra)*sta,growth through transformation to stability,((gro*evo)*tra)*sta = growth through transformation to stability,temporal
((lon^0.9)*bre^0.1)*dur,duration extremes measured,((lon^0.9)*bre^0.1)*dur = duration extremes measured,temporal
((pas*now)*(fut*cha)),temporal-change symmetry,((pas*now)*(fut*cha)) = temporal-change symmetry,temporal
((pas*now)*fut)*cha,temporal continuum through change,((pas*now)*fut)*cha = temporal continuum through change,temporal
(acc^0.1)@(acc^0.9),slight to extreme acceleration,(acc^0.1)@(acc^0.9) = slight to extreme acceleration,temporal
(acc^0.3*grd^0.7),gradual-leaning rate,(acc^0.3*grd^0.7) = gradual-leaning rate,temporal
(acc^0.7*grd^0.3),acceleration-leaning rate,(acc^0.7*grd^0.3) = acceleration-leaning rate,temporal
(alw^0.3*nev^0.7),never-leaning frequency,(alw^0.3*nev^0.7) = never-leaning frequency,temporal
(alw^0.7*nev^0.3),always-leaning frequency,(alw^0.7*nev^0.3) = always-leaning frequency,temporal
(cha:sta):(evo:tra),change from stability from evolution from transformation,(cha:sta):(evo:tra) = change from stability from evolution from transformation,temporal
(cha:sta)*evo,change from stability fused with evolution,(cha:sta)*evo = change from stability fused with evolution,temporal
(cha^0.1)@(cha^0.9),subtle to profound change,(cha^0.1)@(cha^0.9) = subtle to profound change,temporal
